RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,Sample,Patient_ID
526.656,86.0258,292.811,113.776,33.9257,0,450.323,725.364,0.4039,8.4814,TCGA-3N-A9WB-06,TCGA-3N-A9WB
857.975,3429.89,541.202,2192.11,690.555,4.8178,232.46,1175.15,2.4089,2.0074,TCGA-3N-A9WC-06,TCGA-3N-A9WC
1124.11,1109.93,371.631,909.929,817.731,27.6596,499.291,428.369,15.6028,25.5319,TCGA-3N-A9WD-06,TCGA-3N-A9WD
628.247,8385.39,890.909000000001,133.117,29.5455,0.3247,131.169,528.247,2.9221,3.2468,TCGA-BF-A1PU-01,TCGA-BF-A1PU
1526.9,115.362,1755.23,352.361,36.7603,2.9886,205.917,1197.25,2.0921,1.7932,TCGA-BF-A1PV-01,TCGA-BF-A1PV
913.104,623.219,622.524,1156.83,1094.54,7.6469,259.993,214.459,14.5985,63.2603,TCGA-BF-A1PX-01,TCGA-BF-A1PX
488.58,239.859,701.856,227.332,103.583,0,293.637,578.107,0,2.1389,TCGA-BF-A1PZ-01,TCGA-BF-A1PZ
1433.8,251.698,294.645,1215.89,182.701,1.7601,262.258,2126.93,2.4642,1.0561,TCGA-BF-A1Q0-01,TCGA-BF-A1Q0
712.045,509.736,813.028,575.909,325.694,3.7911,215.061,1997.59,8.2716,6.5483,TCGA-BF-A3DJ-01,TCGA-BF-A3DJ
880.176,1508.45,716.001,118.897,37.2458,0,197.501,165.646,0,0.9802,TCGA-BF-A3DL-01,TCGA-BF-A3DL
516.336,89.6861,385.01,1131.33,145.74,0.3203,135.49,891.736,1.2812,4.4843,TCGA-BF-A3DM-01,TCGA-BF-A3DM
419.862,1957.52,838.565000000001,337.171,89.0178,0.29,122.653,794.491,9.5687,2.0297,TCGA-BF-A3DN-01,TCGA-BF-A3DN
1850.36,380.805,471.104,660.666,595.459,1.032,642.931,324.045,0,8.2559,TCGA-BF-A5EO-01,TCGA-BF-A5EO
398.728,310.999,548.306,325.474,61.4102,0.4386,334.686,1246.19,0.4386,1.3159,TCGA-BF-A5EP-01,TCGA-BF-A5EP
1450.97,703.619,1070.95,1040.34,327.539,4.373,302.613,1109.87,2.1865,1.7492,TCGA-BF-A5EQ-01,TCGA-BF-A5EQ
1148.58,947.22,1173.24,74.4831,51.8813,0,357.005,298.96,0.5137,0,TCGA-BF-A5ER-01,TCGA-BF-A5ER
1654.34,513.873,1309.83,286.538,185.549,0,292.486,339.884,0,0.578,TCGA-BF-A5ES-01,TCGA-BF-A5ES
609.01,2060.34,351.569,2130.31,1358.41,2.8158,369.67,378.922,4.0225,0.8045,TCGA-BF-AAP0-06,TCGA-BF-AAP0
255.731,141.476,471.347,208.095,63.7536,0,30.086,1955.59,0.3582,5.0143,TCGA-D3-A1Q1-06,TCGA-D3-A1Q1
812.74,1188.8,1075.45,528.281,638.55,8.5667,166.941,1235.15,8.5667,0,TCGA-D3-A1Q3-06,TCGA-D3-A1Q3
455.473,1036.22,219.51,495.86,274.481,20.1934,154.442,603.184,32.5338,11.9665,TCGA-D3-A1Q4-06,TCGA-D3-A1Q4
487.15,166.191,524.272,1447.74,133.638,4.5688,177.613,1805.25,125.642,38.2638,TCGA-D3-A1Q5-06,TCGA-D3-A1Q5
764.273,92.081,310.313,352.979,180.018,0.4604,83.7937,4039.59,72.744,0.4604,TCGA-D3-A1Q6-06,TCGA-D3-A1Q6
543.653,1054.9,980.543,1387.19,1332.95,6.6546,227.125,629.295,5.4973,2.8933,TCGA-D3-A1Q7-06,TCGA-D3-A1Q7
706.581,902.307,285.957,1115.66,640.095,4.4098,116.011,1735.41,6.445,2.3745,TCGA-D3-A1Q8-06,TCGA-D3-A1Q8
211.532,1503.46,1398.02,558.814,257.002,1.9769,154.53,1189.79,9.5552,6.2603,TCGA-D3-A1Q9-06,TCGA-D3-A1Q9
550.497,2022.89,1656.22,363.433,89.801,1.99,248.01,1483.33,1.7413,0,TCGA-D3-A1QA-06,TCGA-D3-A1QA
712.896,1186.71,760.837,1367.14,1164.92,0.9339,197.058,372.947,2.8018,8.7166,TCGA-D3-A1QB-06,TCGA-D3-A1QB
551.759,792.634,1759.12,355.418,280.026,0.3318,134.373,198.407,2.3225,0,TCGA-D3-A2J6-06,TCGA-D3-A2J6
199.21,289.899,562.986,422.876,631.767,1.5285,84.5752,1646.67,10.1898,0,TCGA-D3-A2J7-06,TCGA-D3-A2J7
1027.87,879.536,267.925,1778.13,943.977,1.7417,174.746,445.573,10.4499,0.2903,TCGA-D3-A2J8-06,TCGA-D3-A2J8
891.382,1919.77,663.741,2982.09,2527.02,3.794,285.605,625.169,6.7449,0.2108,TCGA-D3-A2J9-06,TCGA-D3-A2J9
1013.06,809.009,106.306,2419.37,534.685,0.4505,163.063,1510.81,12.1622,62.1622,TCGA-D3-A2JA-06,TCGA-D3-A2JA
735.751,2514.46,627.444,2005.35,2018.05,70.1989,362.694,445.596,14.3741,7.6885,TCGA-D3-A2JB-06,TCGA-D3-A2JB
503.835,1169.56,648.769,871.619,429.148,1.2111,294.308,1474.36,27.8563,6.4594,TCGA-D3-A2JC-06,TCGA-D3-A2JC
548.78,1137.1,442.35,316.334,1035.11,1.4782,236.512,114.56,1.1086,3.3259,TCGA-D3-A2JD-06,TCGA-D3-A2JD
494.029,77.448,216.991,77.7857,66.189,0.6824,126.919,603.548,0.3412,0,TCGA-D3-A2JE-06,TCGA-D3-A2JE
